"Season","Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","ARM","DPR","RngR","ErrR","UZR","UZR/150","FRM","OAA","RAA","Def"
"2007","Phillies","13125.0","0","3","4","0","26","-3","16","","47","11.5","-0.6","20.5","1.2","32.6","6.1","","","","38.6"
"2012","Angels","12900.0","-7","0","-3","-1","2","23","28","-3","41","4.3","0.7","34.7","-4.5","35.2","5.5","-14.8","","","37.6"
"2017","Reds","12870.0","-19","7","6","0","17","8","18","6","56","10.9","3.5","-4.5","2.0","11.9","4.0","-17.1","15","13","37.5"
"2021","Royals","12756.0","-7","2","4","3","3","10","-4","11","23","3.6","5.7","7.0","5.8","22.1","3.4","-17.3","27","21","37.3"
"2005","Angels","13179.0","0","4","6","3","0","-2","23","","31","0.6","-1.9","21.7","6.6","27.0","3.6","","","","37.0"
"2011","Rangers","12972.0","-12","-3","2","7","-5","-5","7","3","-5","-3.4","7.4","36.9","-10.6","30.3","4.2","-11.9","","","36.4"
"2008","Cardinals","13086.0","0","-2","6","3","3","3","47","","69","2.6","0.1","2.4","14.1","19.2","2.8","18.3","","","36.0"
"2017","Mariners","12963.0","-5","4","1","11","12","-3","-18","6","9","12.6","8.4","0.5","-11.4","10.1","4.1","3.0","19","16","36.0"
"2002","Giants","12936.0","0","0","0","0","0","0","0","","0","-3.3","4.2","29.3","3.6","33.8","4.2","","","","35.8"
"2017","Brewers","13011.0","6","1","-2","7","5","-5","-11","25","23","12.7","1.1","-4.3","-19.7","-10.2","0.4","-3.5","31","23","35.1"
"2016","Royals","12960.0","-12","1","4","-3","8","5","2","-4","10","3.7","-3.0","11.3","9.2","21.2","2.9","-19.1","25","23","35.1"
"2006","Astros","13218.0","0","3","-3","4","3","7","38","","56","-2.3","4.5","25.9","8.8","37.0","4.8","","","","35.0"
"2021","Astros","13005.0","-5","-4","1","-2","1","5","57","16","76","0.5","-1.3","18.2","2.7","20.1","2.8","0.8","39","32","34.9"
"2006","Twins","12954.0","0","-2","-1","-5","1","8","3","","15","1.9","-6.3","32.6","2.5","30.8","4.0","","","","34.8"
"2022","Cardinals","12921.0","-8","3","-1","2","8","12","34","11","67","7.6","2.8","12.7","20.0","43.1","6.3","-3.4","26","20","34.0"
"2010","Twins","13074.0","-2","3","3","-2","4","6","-23","0","-2","1.9","-4.6","16.4","14.4","28.1","3.6","4.3","","","33.8"
"2008","Mets","13179.0","0","-1","-1","-5","-1","5","28","","33","1.9","1.8","26.6","1.5","31.8","4.9","5.8","","","33.5"
"2022","Astros","13008.0","-1","0","0","5","5","8","15","44","67","8.2","0.4","11.1","-5.4","14.3","4.5","-2.9","32","27","33.2"
"2013","Rangers","13170.0","-1","-2","1","3","8","0","12","3","29","11.4","1.2","20.1","-2.2","30.5","6.0","-9.9","","","33.1"
"2002","Mariners","13008.0","0","0","0","0","0","0","0","","0","-10.5","-1.8","31.5","5.9","25.0","1.1","","","","33.0"
"2008","Cubs","13056.0","0","3","-3","-3","0","-10","-4","","-19","2.2","2.1","29.8","-3.7","30.3","5.1","-6.8","","","33.0"
"2018","Marlins","12978.0","1","-4","3","-3","-8","-11","8","25","21","-4.5","0.4","8.1","4.0","8.1","0.4","5.3","24","15","33.0"
"2003","White Sox","12879.0","0","0","2","2","-5","0","24","","27","-2.8","3.7","23.1","2.0","26.0","3.3","","","","33.0"
"2009","Tigers","13023.0","0","-3","5","1","9","9","3","","25","5.9","-0.2","18.3","2.6","26.5","4.6","-33.8","","","32.6"
"2021","Rays","13101.0","14","2","2","4","0","-5","45","18","72","0.4","2.0","17.7","-5.6","14.4","2.4","5.1","29","27","32.1"
"2005","Indians","13074.0","0","-2","-1","12","-10","-2","40","","33","-11.8","5.3","46.9","-4.5","35.9","3.1","","","","31.9"
"2015","Blue Jays","12969.0","2","0","5","7","1","-4","-18","22","25","-8.0","-1.2","15.4","3.5","9.7","-0.4","6.9","","","31.6"
"2005","Tigers","12921.0","0","1","10","1","-6","5","20","","39","-7.5","0.5","13.6","4.9","11.5","0.2","","","","31.5"
"2002","Braves","13206.0","0","0","0","0","0","0","0","","0","0.5","-0.7","26.6","-1.1","25.4","3.4","","","","31.4"
"2009","Rangers","12912.0","0","-1","4","6","-9","1","20","","19","-6.0","4.0","28.4","0.5","26.9","2.8","8.9","","","31.2"
"2006","Giants","12867.0","0","0","-3","-3","-14","15","30","","32","-7.1","-4.0","36.3","5.8","31.1","2.2","","","","31.1"
"2009","Pirates","12765.0","0","0","0","3","4","6","33","","45","3.3","-2.2","10.1","18.4","29.7","4.2","-38.5","","","31.0"
"2021","Mets","12414.0","7","-2","6","1","0","2","-1","32","48","3.2","0.1","-5.9","-9.9","-12.6","-1.6","2.2","26","18","30.7"
"2011","Red Sox","13116.0","7","0","0","-2","-7","-8","38","-1","18","-3.5","0.1","42.1","5.3","44.0","5.3","-5.0","","","30.4"
"2007","Giants","13083.0","0","3","2","-1","-5","-7","10","","2","-5.6","-0.8","20.8","12.7","27.2","2.5","","","","30.2"
"2019","Cubs","12978.0","-2","1","0","5","5","4","34","-12","29","0.7","6.4","-2.7","7.5","11.9","1.8","-8.3","34","26","30.1"
"2008","Blue Jays","13020.0","0","0","1","-3","7","5","41","","54","2.9","-2.3","13.3","7.9","21.8","3.4","8.8","","","30.1"
"2005","Blue Jays","13023.0","0","6","-3","3","12","14","23","","55","9.6","0.7","20.0","3.5","33.8","6.5","","","","29.8"
"2010","Athletics","12885.0","-1","5","-2","6","-8","10","56","0","73","-6.0","7.8","17.2","6.0","25.0","2.6","-5.8","","","29.7"
"2008","Brewers","13101.0","0","4","6","-5","-1","1","32","","44","-1.0","-2.7","24.3","-4.6","15.9","1.6","-2.8","","","29.5"
"2004","Cubs","13188.0","0","-1","-4","-10","-1","-5","5","","-18","3.0","-1.5","30.9","3.6","36.1","5.6","","","","29.1"
"2016","Cubs","13137.0","19","0","2","-1","-4","-5","88","22","107","1.0","-1.0","42.8","4.3","47.1","6.4","15.2","41","32","28.8"
"2003","Indians","13134.0","0","-1","2","4","-2","0","25","","28","0.0","3.0","24.5","-4.9","22.8","3.2","","","","28.8"
"2005","Astros","12987.0","0","-1","0","0","7","9","42","","62","2.1","-0.1","19.9","1.5","23.5","3.7","","","","28.5"
"2012","Reds","13077.0","24","-1","3","-3","4","8","22","6","63","2.6","-2.5","4.8","5.0","9.9","1.5","19.8","","","27.8"
"2016","Rangers","12987.0","1","-5","2","4","0","-2","-12","17","2","3.3","7.4","6.5","-5.9","11.4","2.2","-11.3","19","15","27.5"
"2004","Braves","13050.0","0","1","-2","-5","11","1","38","","39","15.9","-2.9","26.4","-6.0","33.3","6.6","","","","27.3"
"2016","Blue Jays","13134.0","16","4","-6","-1","0","-4","43","16","58","-5.2","1.5","12.8","2.3","11.4","0.7","17.0","4","4","26.5"
"2019","Astros","13161.0","-1","-2","-2","-3","-1","26","70","15","97","-0.9","-5.5","17.2","4.1","14.9","1.6","-0.2","47","38","26.3"
"2016","Astros","13212.0","10","0","3","7","20","5","19","17","77","20.4","-2.5","-2.1","-5.1","10.7","5.1","18.4","3","4","26.1"
"2005","White Sox","13281.0","0","-4","-3","5","-5","4","42","","39","-7.2","3.4","33.5","3.3","33.1","3.2","","","","26.1"
"2018","Braves","13110.0","1","1","-1","1","1","-2","50","8","53","-4.0","-3.0","28.6","6.3","27.9","2.6","1.5","44","36","26.0"
"2010","Rays","13083.0","-7","-1","-4","-3","3","6","10","11","22","4.6","-4.1","32.3","0.8","33.5","5.5","-11.9","","","26.0"
"2013","Reds","13263.0","-3","0","0","-6","-1","1","25","11","28","1.9","-2.7","22.0","2.6","23.8","3.5","-8.8","","","25.6"
"2012","Red Sox","12987.0","12","-2","-3","6","1","4","49","7","64","-3.4","7.9","12.2","13.9","30.6","3.6","6.2","","","25.4"
"2012","Cubs","12723.0","-9","1","-3","0","-10","-9","20","5","-8","-5.7","-1.0","34.0","2.0","29.3","2.8","2.3","","","24.8"
"2005","Giants","12999.0","0","-7","4","-4","-8","0","-3","","-8","-11.4","-7.9","32.9","1.1","14.7","-1.0","","","","24.7"
"2005","Cubs","12960.0","0","0","3","-3","-6","-2","17","","8","-5.0","0.5","27.1","-3.1","19.5","1.8","","","","24.5"
"2012","White Sox","13011.0","-2","2","6","4","1","-9","1","0","7","-1.4","5.6","1.4","12.1","17.7","2.8","3.5","","","24.2"
"2013","Yankees","13026.0","15","-4","2","-4","2","5","-7","15","24","3.3","-2.2","5.3","8.7","15.1","2.3","25.6","","","24.1"
"2018","Pirates","12906.0","-11","-1","5","-1","10","-12","-8","22","12","11.9","-0.1","-11.0","-3.5","-2.8","1.8","-10.1","5","5","23.7"
"2003","Twins","13155.0","0","5","-2","-3","-1","0","-9","","-5","-2.3","-7.7","23.0","10.1","23.2","1.3","","","","23.2"
"2012","Phillies","13062.0","10","-3","4","-2","11","12","-26","1","10","7.9","2.3","4.9","-1.6","13.5","3.7","1.4","","","23.1"
"2005","Athletics","13053.0","0","-2","-4","4","3","3","37","","37","-2.6","-2.8","36.7","2.7","34.0","3.9","","","","23.0"
"2015","Twins","12987.0","-16","4","-3","-7","15","6","-30","-2","-38","19.4","-1.2","5.3","6.5","30.0","6.4","-13.7","","","23.0"
"2005","Cardinals","13011.0","0","2","10","10","3","10","33","","81","8.3","7.4","-14.7","3.6","4.5","2.7","","","","22.5"
"2016","Indians","13005.0","-3","2","3","-5","8","-3","11","22","41","4.5","1.5","17.3","-2.9","20.4","3.9","7.5","16","10","22.5"
"2011","Yankees","13125.0","24","1","0","0","6","6","-9","-1","19","7.3","1.2","16.9","-1.5","23.8","4.6","33.4","","","22.4"
"2013","Diamondbacks","13455.0","6","-4","-1","-2","11","-5","61","-5","69","10.9","-1.0","-2.2","16.1","23.8","4.8","8.6","","","22.4"
"2019","Nationals","12954.0","-13","1","-3","-2","4","2","33","2","26","1.2","-4.5","-4.1","10.2","2.9","0.2","-6.0","31","27","22.3"
"2006","Cubs","12951.0","0","0","-4","-6","-7","-7","13","","-16","-11.3","-1.9","47.2","-2.8","31.2","2.1","","","","22.2"
"2006","Mets","13152.0","0","-5","1","-3","3","4","35","","32","-1.1","-1.9","19.8","7.5","24.2","2.8","","","","22.2"
"2004","Rangers","12957.0","0","2","-1","-3","-9","-3","-22","","-26","-1.1","-2.2","26.8","-6.4","17.2","1.9","","","","22.2"
"2007","Red Sox","12948.0","0","-2","-2","2","-8","13","6","","2","-6.4","-0.1","32.8","2.9","29.1","2.4","","","","22.1"
"2014","Angels","13344.0","13","-1","-2","3","-4","5","-5","-10","-9","-5.2","3.6","13.2","12.6","24.2","2.8","9.7","","","21.9"
"2017","Astros","13014.0","9","-4","-6","7","10","1","4","14","21","6.1","0.8","-32.2","-4.3","-29.6","-3.6","11.9","2","2","21.5"
"2018","Red Sox","13128.0","15","4","-2","-7","9","-3","-18","13","10","19.1","-0.2","0.3","6.2","25.3","6.7","22.8","-1","1","21.4"
"2007","Twins","12930.0","0","3","-2","0","2","9","10","","27","-4.2","-3.9","26.1","-0.7","17.3","1.2","","","","21.3"
"2004","Cardinals","13083.0","0","-4","3","-3","10","4","37","","51","7.3","-4.5","9.2","4.1","16.0","3.1","","","","21.0"
"2003","Padres","12882.0","0","5","-8","-4","12","0","-15","","-16","8.5","-2.2","28.6","-1.4","33.5","5.6","","","","20.5"
"2021","Marlins","12735.0","4","1","2","7","16","-13","25","13","55","15.0","4.2","-2.8","-15.6","0.7","3.4","1.7","-9","-6","20.1"
"2008","Giants","12978.0","0","0","3","-4","-4","-9","-19","","-33","0.9","-3.9","35.1","-8.9","23.3","2.9","0.4","","","20.1"
"2011","Padres","13044.0","-13","0","-2","-4","-3","8","36","5","32","-4.1","-4.8","25.2","5.7","22.0","1.8","-15.7","","","20.0"
"2004","Angels","13089.0","0","0","5","-6","7","7","-35","","-16","10.1","-4.7","5.7","0.8","11.9","2.9","","","","19.9"
"2013","Red Sox","13086.0","8","-1","-3","-2","6","5","15","8","22","-2.2","-2.7","21.4","8.2","24.7","2.6","2.0","","","19.4"
"2002","Orioles","13056.0","0","0","0","0","0","0","0","","0","0.3","-1.3","4.4","16.9","20.3","2.6","","","","19.3"
"2013","Brewers","12984.0","26","-3","-1","-1","12","7","-6","19","44","10.8","1.5","18.9","-16.6","14.7","4.3","44.0","","","19.2"
"2014","Braves","13095.0","-9","1","-2","4","0","-8","1","-5","-14","-1.4","6.5","19.8","-0.6","24.2","3.6","-18.7","","","19.1"
"2003","Cardinals","13173.0","0","-1","-1","1","-3","0","-7","","-7","-1.6","0.5","12.4","6.8","18.0","2.0","","","","19.0"
"2006","Orioles","12771.0","0","-2","8","3","8","-7","-22","","-13","3.8","-0.8","-2.6","4.5","4.8","1.1","","","","18.8"
"2008","Indians","12933.0","0","-2","-1","12","9","3","2","","24","5.2","4.7","5.3","4.8","20.0","3.9","-2.4","","","18.7"
"2016","Marlins","12915.0","1","-10","0","-4","7","3","5","4","4","4.0","-2.2","18.4","12.1","32.3","4.8","-8.1","17","13","18.6"
"2015","Rangers","12984.0","-4","2","-2","-2","5","2","-25","11","-12","11.9","0.5","17.1","-9.0","20.5","4.2","-5.1","","","18.5"
"2013","Marlins","13140.0","-14","0","1","1","-6","-10","16","-4","-10","-1.0","4.2","4.3","9.5","16.9","2.6","-14.9","","","18.3"
"2018","Angels","12936.0","2","0","4","12","-6","2","7","-14","5","-1.1","6.1","18.8","17.4","41.2","5.0","5.7","3","3","17.7"
"2022","Guardians","13104.0","3","2","-1","-1","11","2","46","22","79","5.9","1.2","18.5","8.1","33.8","5.0","3.7","17","14","17.6"
"2002","Devil Rays","12963.0","0","0","0","0","0","0","0","","0","4.4","1.4","15.6","-7.9","13.5","2.5","","","","17.5"
"2022","Dodgers","13062.0","8","6","-3","1","3","2","23","50","86","7.3","3.5","9.3","-17.0","3.0","3.3","3.8","8","8","17.3"
"2021","Cleveland","12672.0","0","1","0","0","-3","-8","8","3","2","-3.1","4.9","-1.1","12.6","13.4","1.2","2.2","18","14","17.3"
"2013","Braves","13053.0","4","2","1","3","-7","-10","43","-3","38","-6.0","4.3","6.9","4.6","9.8","0.2","4.2","","","17.2"
"2007","Angels","12915.0","0","-1","-1","5","-2","-1","-12","","-13","2.3","1.9","17.1","-2.5","18.8","3.2","","","","16.8"
"2017","Angels","12966.0","16","3","4","7","-4","3","28","-9","50","-0.4","3.7","15.4","10.6","29.3","4.2","24.7","8","5","16.8"
"2007","Mets","13071.0","0","1","-1","-4","-11","-1","44","","18","-5.3","0.8","23.6","1.6","20.7","1.8","","","","16.7"
"2013","Cubs","13032.0","-14","5","5","0","-2","-2","0","8","-2","-0.7","0.3","15.8","-5.1","10.3","1.4","-21.0","","","16.4"
"2010","Tigers","12999.0","1","0","-4","5","7","-15","13","0","-5","1.9","4.0","19.9","0.4","26.3","4.0","-20.9","","","16.3"
"2021","Giants","13095.0","1","-5","-2","-3","-3","3","1","34","32","-0.8","-4.6","4.8","1.4","0.8","-0.5","5.5","26","21","16.3"
"2015","Angels","12966.0","9","0","2","-2","6","7","-6","-21","-1","9.3","-2.9","4.1","1.5","12.0","2.6","3.8","","","16.0"
"2003","Cubs","13107.0","0","-2","4","6","-7","0","-28","","-25","-9.9","8.9","9.6","-0.7","8.0","0.2","","","","16.0"
"2022","Orioles","12900.0","-2","1","-2","4","4","6","11","6","36","5.8","4.4","4.3","13.4","27.9","4.0","-5.7","2","1","15.9"
"2014","Nationals","13236.0","1","-1","7","7","1","6","-4","-14","17","5.8","9.7","-9.1","-4.3","2.2","2.4","-5.6","","","15.9"
"2018","Athletics","13191.0","-1","-8","4","3","-3","-2","-2","23","13","-1.8","0.0","29.0","9.5","36.7","4.0","-2.8","21","16","15.3"
"2017","Cubs","13026.0","-10","-2","3","-1","-2","-2","33","20","40","4.3","-2.7","19.4","3.5","24.5","3.9","-10.5","20","14","15.1"
"2015","Cardinals","13182.0","-3","5","0","0","-9","-3","22","-14","2","-3.1","1.1","10.5","3.6","12.1","1.0","6.3","","","15.1"
"2005","Mariners","12849.0","0","0","-1","-1","-12","1","12","","3","-6.6","-3.0","19.6","3.0","13.0","0.4","","","","15.0"
"2015","Rays","13080.0","2","-6","2","-2","8","6","4","14","14","10.6","-0.4","12.5","-7.7","15.0","3.9","3.6","","","15.0"
"2015","Giants","12999.0","8","1","-5","5","-3","5","18","-2","30","-5.2","3.8","15.6","7.7","21.8","2.1","9.8","","","14.8"
"2010","Mets","13077.0","1","1","-2","2","14","-4","22","-1","39","14.6","1.5","-13.2","6.7","9.6","3.8","-12.9","","","14.8"
"2020","Padres","4683.0","2","-3","1","-2","-2","-4","16","-4","3","-0.8","-1.2","1.6","14.6","14.2","3.6","-0.4","18","15","14.8"
"2011","Giants","13212.0","30","1","6","1","1","-8","-1","1","29","0.8","0.5","1.7","2.0","5.0","0.9","28.2","","","14.5"
"2021","Rockies","12573.0","-1","0","4","-1","5","3","45","5","61","8.0","-0.4","14.0","21.4","43.0","6.2","0.7","2","2","14.4"
"2020","Indians","4824.0","3","0","3","2","-3","-1","21","-1","26","0.9","2.9","-0.4","4.7","8.1","3.0","1.9","7","4","14.3"
"2013","Giants","13026.0","9","4","0","-3","1","-8","10","-2","5","3.6","0.7","16.0","-5.7","14.7","2.7","19.7","","","14.3"
"2010","Nationals","12915.0","15","-3","2","-7","0","-6","8","-3","-2","-5.5","-5.6","26.7","-14.0","1.6","-1.2","15.8","","","14.2"
"2017","Red Sox","13341.0","31","-1","6","-2","5","15","21","6","79","0.7","-5.2","32.1","0.1","27.7","3.1","12.3","5","7","13.8"
"2020","Rays","4749.0","-4","1","1","0","11","1","11","-2","24","11.0","1.6","5.3","-3.1","14.8","10.6","-2.9","-3","-1","13.6"
"2019","Phillies","13083.0","1","-2","10","-5","5","-1","45","6","68","8.2","-8.1","14.1","6.9","21.1","3.4","8.0","-3","-2","13.6"
"2013","Dodgers","13053.0","-11","2","5","-2","-1","0","32","-14","20","1.2","-3.1","17.6","-10.2","5.5","0.8","-3.9","","","13.2"
"2015","Diamondbacks","13200.0","-12","-4","-3","4","-2","8","68","-1","60","-4.7","-0.7","19.7","2.8","17.1","1.3","-14.5","","","13.1"
"2002","Pirates","12714.0","0","0","0","0","0","0","0","","0","7.9","8.2","-7.2","1.2","10.0","3.6","","","","13.0"
"2016","Angels","12792.0","0","1","3","-1","4","13","-1","17","38","5.9","1.1","25.5","-6.8","25.7","4.7","-6.9","-4","-4","13.0"
"2015","Indians","12894.0","-3","0","2","-1","0","2","-5","16","15","-0.4","2.3","5.7","3.4","10.9","1.8","0.0","","","12.9"
"2012","Diamondbacks","12903.0","8","0","3","-5","5","6","13","1","32","6.4","-1.6","-24.0","18.0","-1.2","0.9","10.9","","","12.8"
"2020","Cardinals","4257.0","-1","-1","1","1","4","3","18","9","34","0.3","1.5","8.2","3.2","13.1","4.4","0.1","12","10","12.7"
"2010","Rangers","13098.0","-6","-2","-4","-1","-8","2","5","1","-21","1.7","-4.7","32.8","-4.3","25.5","3.3","-5.0","","","12.6"
"2015","Tigers","13023.0","-15","-1","0","9","4","1","-17","7","-4","11.2","6.7","-10.1","-0.3","7.5","3.4","-24.1","","","12.5"
"2016","Giants","13143.0","10","1","2","1","-3","1","43","14","75","-5.1","2.1","18.2","11.3","26.4","2.5","25.5","14","9","12.4"
"2017","Rockies","12939.0","-27","-2","2","3","-14","8","27","-8","7","-12.7","4.4","2.6","14.2","8.5","-0.8","-9.6","20","14","12.3"
"2020","Brewers","4656.0","2","1","2","-3","-2","2","-16","4","-9","-2.9","-1.0","0.6","-3.1","-6.4","-4.5","5.8","3","2","12.1"
"2002","Mets","12984.0","0","0","0","0","0","0","0","","0","3.1","2.4","25.7","-14.1","17.1","3.1","","","","12.1"
"2015","Braves","12828.0","-15","-1","0","6","-13","-8","-9","-20","-51","-5.1","8.4","3.6","1.1","8.0","0.7","-18.7","","","12.0"
"2019","Reds","12942.0","6","2","-3","5","7","5","10","16","41","-2.8","1.8","-0.8","0.4","-1.5","-0.6","2.9","28","22","12.0"
"2019","Athletics","13185.0","-11","-4","1","-4","11","-6","24","-12","3","8.1","-1.2","14.3","18.7","39.9","5.9","-7.9","2","2","11.9"
"2019","Angels","12984.0","-5","-1","-2","2","-7","-5","-8","8","-20","6.7","0.7","8.4","11.0","26.8","4.3","-5.0","7","5","11.8"
"2008","Dodgers","13026.0","0","-2","0","-8","-2","0","-3","","-12","2.9","-2.6","-55.7","3.1","-52.4","-6.6","30.2","","","11.8"
"2016","Rockies","12864.0","-10","0","1","-1","-3","-6","15","19","11","2.4","-4.7","-6.9","2.3","-6.9","-1.1","2.8","22","16","11.8"
"2007","Cardinals","12921.0","0","3","4","-3","-1","8","29","","48","-0.6","-3.1","23.1","-17.7","1.8","0.0","","","","11.8"
"2006","Athletics","13065.0","0","4","6","6","3","1","-21","","4","-4.7","-2.2","-2.2","12.8","3.6","-0.4","","","","11.6"
"2007","Nationals","13020.0","0","-4","1","3","-9","-3","-7","","-14","-8.3","4.0","21.1","-10.4","6.3","0.0","","","","11.3"
"2017","Rays","13005.0","13","-1","-1","3","7","-8","13","35","48","0.3","-2.2","32.7","-7.9","22.8","3.1","0.4","14","14","11.3"
"2012","Dodgers","13047.0","-12","2","0","-8","5","2","3","1","-6","4.9","-5.2","5.7","1.5","6.9","1.5","-11.8","","","11.3"
"2015","Orioles","12912.0","-4","4","0","4","15","16","-27","0","6","13.1","4.1","-14.2","8.3","11.3","3.9","-2.3","","","11.3"
"2011","Brewers","12975.0","29","0","-6","6","-8","1","18","0","32","-8.7","2.1","36.0","-11.3","18.1","1.1","38.5","","","11.1"
"2006","Padres","13173.0","0","1","-6","-3","-9","-2","61","","27","-9.2","-1.4","33.1","8.4","30.9","1.8","","","","10.9"
"2022","Royals","12744.0","-22","-2","-3","4","7","3","-40","2","-40","5.0","1.4","-3.7","11.5","14.3","2.3","-27.7","1","2","10.8"
"2011","White Sox","13140.0","9","-1","-2","3","-12","-4","9","-3","-8","-12.0","2.9","-8.0","11.1","-6.0","-2.6","12.1","","","10.6"
"2020","Cubs","4665.0","2","-1","2","2","4","4","4","5","25","2.3","-0.8","4.1","5.3","10.8","5.6","2.5","5","4","10.6"
"2006","Blue Jays","12855.0","0","-2","-6","3","19","-1","32","","39","15.3","0.5","16.0","-6.2","25.5","6.7","","","","10.5"
"2020","White Sox","4743.0","10","1","2","1","1","-7","22","-5","27","0.6","-0.4","5.1","-3.0","2.2","1.2","6.3","6","5","10.5"
"2016","Red Sox","12957.0","3","1","4","1","7","12","24","17","69","5.8","2.6","16.4","4.5","29.3","5.2","-2.1","-11","-5","10.5"
"2015","Marlins","12843.0","-7","6","-2","4","3","-3","31","-10","18","0.5","5.9","-7.7","15.6","14.3","2.4","-17.3","","","10.3"
"2014","Rangers","12837.0","-7","-1","1","3","5","-8","-46","8","-43","5.0","4.2","3.5","-1.8","10.9","2.4","-10.4","","","10.3"
"2012","Rays","13137.0","17","-2","4","5","0","-3","21","10","52","0.6","4.7","15.9","-13.0","8.2","1.8","28.4","","","10.0"
"2017","Royals","12939.0","-16","0","-3","-3","-11","6","-42","13","-56","-4.1","-0.3","-6.4","12.0","1.1","-0.5","-12.7","20","18","9.8"
"2016","White Sox","13020.0","-11","-3","-2","0","17","4","-21","15","-2","14.7","0.6","-18.6","4.6","1.3","2.5","-21.3","2","2","9.7"
"2021","Braves","12696.0","-1","-1","-3","-1","3","0","17","37","50","5.6","0.1","-11.0","0.8","-4.5","0.0","-0.4","6","5","9.6"
"2015","Dodgers","13011.0","2","-3","-2","-7","8","6","-2","-10","-1","4.9","-3.3","-9.4","13.4","5.6","1.8","19.3","","","9.6"
"2021","Athletics","12897.0","5","2","3","-2","-10","-5","-10","5","-10","-5.5","-2.7","-3.9","14.1","2.0","-1.0","9.0","20","15","9.2"
"2014","Yankees","13077.0","14","1","0","-4","-4","-4","-7","13","7","-1.3","-6.6","16.3","-6.3","2.0","-0.8","20.1","","","9.2"
"2003","Phillies","12993.0","0","-1","-8","3","13","0","23","","15","5.7","5.0","5.6","11.8","28.1","5.5","","","","9.1"
"2018","Diamondbacks","13167.0","27","-1","0","4","-9","17","63","25","123","-15.8","-2.1","23.5","7.1","12.7","-1.6","27.6","30","23","8.9"
"2012","Athletics","13230.0","-12","-2","3","-2","11","4","-6","2","6","9.8","1.5","4.0","-14.5","0.8","1.8","-12.0","","","8.9"
"2009","Cubs","13008.0","0","1","6","-2","-2","-14","-8","","-23","-4.6","-3.6","8.3","-0.2","-0.2","-1.3","-6.9","","","8.8"
"2010","Cardinals","13083.0","6","6","5","1","-2","8","18","1","53","-7.5","4.3","-7.0","0.1","-10.0","-2.4","24.0","","","8.8"
"2012","Giants","13059.0","16","-1","3","-1","-2","-6","12","2","11","-0.5","-1.9","14.7","-5.9","6.4","0.7","18.4","","","8.7"
"2010","Mariners","12942.0","-10","1","0","-1","-5","0","14","-2","2","-7.7","-0.4","30.5","-7.2","15.3","0.5","-28.2","","","8.7"
"2020","Royals","4653.0","2","3","-2","2","-1","2","-15","6","-2","0.5","1.0","-0.1","2.7","4.0","1.4","-0.9","11","8","8.5"
"2019","Rays","13269.0","7","-1","0","0","4","4","-2","41","47","5.1","-1.1","1.1","-7.2","-2.1","0.4","5.1","2","3","8.5"
"2009","Angels","13005.0","0","1","-4","7","9","15","28","","51","2.4","10.9","-7.5","9.2","15.1","2.8","-0.9","","","8.3"
"2006","Angels","13074.0","0","1","5","5","12","-4","-23","","-2","6.3","-1.8","6.8","-12.3","-1.0","1.1","","","","8.0"
"2007","Blue Jays","13038.0","0","6","-7","3","7","10","69","","81","3.5","-3.1","21.8","2.7","24.9","3.9","","","","7.9"
"2007","Brewers","12999.0","0","0","-7","4","-3","13","-15","","-8","1.0","-0.4","21.0","-7.2","14.4","2.1","","","","7.4"
"2011","Dodgers","12888.0","-12","0","-1","0","5","7","-5","1","-1","5.3","-2.1","0.8","3.6","7.6","1.8","-15.3","","","7.3"
"2017","Yankees","13038.0","5","0","0","-10","2","-4","28","9","26","-1.8","-6.2","16.3","0.2","8.5","0.2","0.5","16","15","7.1"
"2013","Twins","13053.0","-28","2","3","0","10","9","-59","10","-43","9.7","0.9","-16.3","6.5","0.8","1.5","-24.2","","","7.1"
"2015","Cubs","13152.0","13","0","2","-5","-3","0","3","8","6","6.8","-4.7","21.7","-11.1","12.6","3.0","11.0","","","6.6"
"2004","Astros","12987.0","0","1","-3","-5","5","8","23","","26","4.1","1.4","11.5","-4.3","12.6","2.7","","","","6.6"
"2005","Brewers","12942.0","0","0","-4","-5","-1","-2","-2","","-11","-2.2","-1.0","23.7","-14.4","6.2","0.3","","","","6.2"
"2003","Rockies","12780.0","0","-1","3","-1","17","0","-15","","7","14.8","1.4","-16.3","-0.7","-0.8","2.0","","","","6.2"
"2004","Athletics","13242.0","0","-1","1","2","-1","-3","-25","","-16","1.7","1.2","-14.8","6.1","-5.8","-0.3","","","","6.2"
"2022","Mets","12948.0","11","-2","3","3","-5","8","-21","15","13","-11.4","-0.4","-9.5","11.8","-9.5","-4.1","9.2","10","7","6.2"
"2020","Diamondbacks","4665.0","4","-2","-3","2","-2","-1","5","1","-2","1.3","-0.2","9.0","-3.7","6.5","2.9","4.6","11","9","6.1"
"2020","Twins","4620.0","0","1","1","0","7","2","4","2","17","0.0","-0.6","4.2","1.4","4.9","2.4","-2.0","5","4","6.1"
"2006","Cardinals","12867.0","0","2","3","3","-13","12","46","","55","-6.5","5.4","0.1","-0.1","-1.0","-0.9","","","","6.0"
"2003","Rangers","12900.0","0","-2","1","3","-12","0","79","","68","-4.2","0.0","-1.0","10.1","4.9","0.1","","","","5.9"
"2004","Phillies","13164.0","0","-4","-6","0","4","8","11","","6","1.2","3.3","3.0","10.4","17.9","3.0","","","","5.9"
