"Season","Team","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","ARM","DPR","RngR","ErrR","UZR","UZR/150","FRM","OAA","RAA","Def"
"2005","Rangers","12960.0","0","-3","-3","-3","2","-7","-22","","-42","1.8","-6.3","-34.6","3.5","-35.6","-4.8","","","","-40.6"
"2017","Athletics","12879.0","1","1","-4","-4","-9","-5","-20","3","-42","-15.0","-3.0","-11.4","-6.0","-35.4","-6.7","0.2","-21","-17","-41.0"
"2008","Padres","13125.0","0","-1","-1","-1","-10","-4","11","","-15","-13.9","-1.2","-22.8","13.1","-24.8","-6.0","-5.4","","","-41.0"
"2007","Mariners","12909.0","0","-8","0","2","2","-11","-36","","-46","5.1","1.5","-62.1","2.4","-53.1","-6.1","","","","-41.1"
"2005","Marlins","12981.0","0","3","-1","-1","1","-5","-69","","-74","7.8","5.1","-50.8","2.1","-35.7","-3.2","","","","-41.7"
"2019","Orioles","12987.0","-21","0","0","6","-18","-8","-24","14","-53","-17.5","5.7","-1.0","-16.6","-29.5","-5.9","-19.4","-33","-27","-41.9"
"2013","Angels","13119.0","-5","-2","-5","-2","-9","-15","-40","-2","-86","-9.1","-4.4","-10.7","-5.7","-29.9","-5.7","-6.9","","","-43.1"
"2004","Rockies","12918.0","0","-3","-7","-9","-16","0","13","","-22","-1.9","-4.1","-50.0","19.8","-36.2","-5.1","","","","-43.2"
"2013","Phillies","12927.0","-1","-1","-3","-1","4","5","-79","-13","-93","-1.8","-3.2","-35.3","-1.4","-41.7","-5.9","-7.2","","","-43.4"
"2005","Reds","12897.0","0","0","1","-5","14","0","-56","","-44","1.0","-3.9","-47.0","3.3","-46.6","-6.1","","","","-43.6"
"2005","Diamondbacks","13107.0","0","5","-1","1","-15","0","1","","-12","-5.5","-2.2","-44.9","8.6","-44.0","-6.8","","","","-44.0"
"2003","Royals","12948.0","0","0","2","0","4","0","-49","","-47","2.4","2.6","-49.3","-0.9","-45.2","-5.0","","","","-44.2"
"2009","Indians","12906.0","0","-4","-5","3","-4","-5","-6","","-19","-9.5","2.8","-21.1","-3.8","-31.6","-5.2","-20.8","","","-44.4"
"2003","Diamondbacks","13095.0","0","0","2","-7","-12","0","-24","","-41","-10.0","-6.0","-31.3","2.7","-44.5","-8.8","","","","-44.5"
"2012","Indians","12978.0","-25","0","-1","2","0","-9","-31","8","-58","-4.3","0.2","-26.5","-3.5","-34.1","-4.9","-38.1","","","-44.8"
"2002","Yankees","13068.0","0","0","0","0","0","0","0","","0","-9.8","-0.5","-16.6","-12.9","-39.9","-7.4","","","","-44.9"
"2003","Tigers","12948.0","0","0","-1","5","-20","0","-21","","-35","-22.5","3.7","-5.1","-18.9","-42.9","-8.4","","","","-44.9"
"2017","Mets","12912.0","-6","0","-2","-3","10","-6","-52","-3","-69","9.6","-4.1","-11.8","0.8","-5.5","0.6","2.3","-57","-44","-45.0"
"2016","Padres","12960.0","8","7","-2","-1","-15","1","4","-7","-3","-11.2","-2.0","-8.8","-1.9","-23.9","-5.3","7.6","-33","-27","-45.4"
"2022","Giants","12897.0","-9","0","-2","-8","-9","3","-59","29","-53","-9.1","-2.8","-13.6","0.0","-25.5","-5.1","-6.3","-33","-29","-46.4"
"2006","Dodgers","13143.0","0","1","-4","-6","-5","-12","-6","","-33","-2.5","-3.0","-29.5","-4.9","-39.9","-5.7","","","","-46.9"
"2011","Orioles","13020.0","1","8","5","1","2","19","-35","3","1","5.4","4.1","-66.8","-2.8","-60.1","-6.4","14.1","","","-47.5"
"2003","Red Sox","13182.0","0","-5","0","-4","3","0","-11","","-22","0.3","-5.7","-37.9","-3.1","-46.4","-6.6","","","","-49.4"
"2006","Pirates","12915.0","0","7","0","1","-7","-1","-50","","-36","-0.6","4.0","-65.5","8.4","-53.7","-6.8","","","","-49.7"
