"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"2009","ATL","86","76","38","650","162","1462.2","7.58","3.26","0.73",".299","73.8%","46.4%","8.1%","92.0","3.57","","3.66","3.91","19.7"
"2022","NYY","99","63","47","669","162","1451.2","9.05","2.75","0.97",".268","76.3%","44.1%","10.7%","95.1","3.30","","3.56","3.64","19.6"
"2004","ANA","92","70","50","505","162","1454.1","7.20","3.11","1.05",".299","72.2%","41.9%","9.7%","","4.28","","4.09","4.34","19.6"
"2014","LAD","94","68","47","658","162","1464.2","8.44","2.64","0.87",".292","74.0%","47.8%","10.8%","92.8","3.40","","3.48","3.33","19.5"
"2012","OAK","94","68","47","624","162","1470.0","6.96","2.83","0.90",".279","75.4%","41.7%","9.1%","92.2","3.50","","3.89","4.20","19.5"
"2015","PIT","98","64","54","662","162","1489.2","8.08","2.74","0.66",".302","75.0%","50.4%","9.4%","94.4","3.23","","3.36","3.56","19.5"
"2012","WSN","98","64","51","644","162","1468.1","8.12","3.05","0.79",".282","75.1%","46.3%","9.2%","94.3","3.34","","3.54","3.80","19.5"
"2008","COL","74","88","36","647","162","1446.0","6.48","3.50","0.92",".309","68.5%","46.8%","10.0%","91.8","4.77","","4.30","4.32","19.5"
"2022","SDP","89","73","48","649","162","1443.1","9.05","2.92","1.08",".282","73.5%","41.2%","11.1%","94.3","3.81","","3.82","3.86","19.3"
"2010","TEX","90","72","46","643","162","1455.1","7.30","3.41","1.00",".280","73.6%","41.5%","9.3%","92.9","3.93","","4.17","4.19","19.3"
"2002","HOU","84","78","43","642","162","1445.0","7.59","3.40","0.94",".300","73.3%","44.6%","10.5%","","4.00","","3.88","3.91","19.3"
"2009","NYY","103","59","51","623","162","1450.0","7.82","3.56","1.12",".290","71.9%","42.3%","11.1%","93.4","4.28","","4.32","4.17","19.3"
"2005","CLE","93","69","51","571","162","1452.2","6.51","2.56","0.97",".275","73.6%","44.8%","10.2%","","3.61","","3.92","3.97","19.2"
"2006","CHW","90","72","46","560","162","1449.0","6.29","2.69","1.24",".295","70.5%","42.9%","11.2%","","4.61","","4.56","4.50","19.2"
"2011","TEX","96","66","38","579","162","1441.1","7.36","2.88","1.06",".278","72.5%","42.6%","10.7%","93.3","3.79","","3.98","3.83","19.2"
"2006","HOU","82","80","42","659","162","1468.2","7.11","2.94","1.12",".286","72.8%","45.2%","11.6%","","4.09","","4.27","4.16","19.2"
"2008","TBR","97","65","52","610","162","1457.2","7.06","3.25","1.02",".277","74.0%","40.8%","9.3%","92.6","3.82","","4.22","4.35","19.2"
"2001","BOS","82","79","48","585","161","1448.0","7.83","3.38","0.91",".299","70.7%","","","","4.18","","3.94","","19.1"
"2000","NYM","94","68","49","573","162","1450.0","7.22","3.56","1.02",".286","71.8%","","","","4.16","","4.31","","19.1"
"2004","MIL","67","94","42","584","161","1442.0","6.85","2.97","1.02",".289","69.6%","44.0%","10.1%","","4.26","","4.10","4.26","19.0"
"2005","MIN","83","79","44","558","162","1464.1","5.93","2.14","1.04",".283","73.6%","45.1%","10.3%","","3.72","","4.00","4.04","19.0"
"2017","HOU","101","61","45","681","162","1446.0","9.91","3.25","1.20",".300","73.7%","47.3%","14.9%","93.5","4.12","","3.91","3.77","19.0"
"2006","ARI","76","86","34","623","162","1459.2","6.87","3.30","1.04",".299","70.4%","46.8%","11.1%","","4.49","","4.34","4.30","19.0"
"2015","NYM","90","72","50","647","162","1462.2","8.23","2.36","0.94",".288","74.3%","46.3%","10.8%","94.4","3.45","","3.53","3.60","19.0"
"2018","LAD","92","71","48","756","163","1476.0","9.54","2.57","1.09",".284","76.2%","44.9%","13.4%","92.6","3.40","","3.60","3.52","19.0"
"2021","TBR","100","62","42","693","162","1455.2","9.14","2.70","1.14",".281","73.7%","41.5%","12.3%","94.1","3.67","","3.79","3.97","18.9"
"2015","HOU","86","76","39","644","162","1441.0","7.99","2.64","0.92",".285","73.8%","47.3%","10.9%","92.6","3.57","","3.66","3.71","18.9"
"2001","SEA","116","46","56","553","162","1465.0","6.46","2.86","0.98",".260","74.8%","","","","3.54","","4.12","","18.9"
"2016","CHC","103","58","38","665","162","1459.2","8.88","3.05","1.01",".255","77.5%","46.9%","13.1%","93.3","3.15","","3.77","3.74","18.8"
"2007","MIL","83","79","49","654","162","1444.1","7.32","3.16","1.00",".308","70.2%","41.5%","9.2%","91.7","4.44","","4.22","4.29","18.8"
"2016","BOS","93","69","43","625","162","1439.2","8.51","3.06","1.10",".293","72.9%","41.5%","11.4%","93.8","4.00","","4.00","4.20","18.8"
"2019","OAK","97","65","45","709","162","1465.0","7.98","2.93","1.23",".278","75.1%","41.5%","12.6%","93.0","3.97","","4.34","4.72","18.8"
